step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,0,-1,in,2.0,0,-1,-120.0,True,0.0,0.3984,0.0
2,24,-1,out,2.0,0,-1,-120.0,True,0.3656,0.3984,0.0
3,25,-1,out,2.0,0,-1,-120.0,True,0.1211,0.3984,0.0
4,22,-1,out,2.0,0,-1,-120.0,True,0.8697,0.3984,0.0
5,14,-1,out,2.0,0,-1,-120.0,True,8.0466,0.3984,0.0
6,20,-1,out,2.0,0,-1,-120.0,True,1.5742,0.3984,0.0
7,17,-1,out,2.0,0,-1,-120.0,True,2.8873,0.3984,0.0
8,15,-1,out,2.0,0,-1,-120.0,True,1.9846,0.3984,0.0
9,13,-1,out,2.0,0,-1,-120.0,True,4.8101,0.3984,0.0
10,14,1,out,2.0,-1,0,0.0,True,4.7189,0.3984,0.0
11,9,-1,out,2.0,0,-1,-120.0,True,7.6641,0.3984,14.2625
12,13,1,out,2.0,-1,0,0.0,True,4.8908,0.3984,0.0
13,14,1,out,2.0,0,1,120.0,True,4.5778,0.3984,0.0
14,9,1,out,2.0,-1,0,0.0,True,6.5633,0.3984,17.6295
