step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,1,1,in,2.0,0,1,120.0,True,0.1068,0.3984,0.0
2,23,1,out,2.0,0,1,120.0,True,0.6594,0.3984,0.0
3,4,-1,in,2.0,0,-1,-120.0,True,1.1848,0.3984,0.0
4,0,1,in,2.0,0,1,120.0,True,0.0,0.3984,0.0
5,2,-1,in,2.0,0,-1,-120.0,True,0.3186,0.3984,0.0
6,19,-1,out,2.0,0,-1,-120.0,True,3.2038,0.3984,0.0
7,22,1,out,2.0,0,1,120.0,True,1.1012,0.3984,0.0
8,10,-1,in,2.0,0,-1,-120.0,True,5.2419,0.3984,0.0
9,5,-1,in,2.0,0,-1,-120.0,True,1.1631,0.3984,0.0
10,9,-1,in,2.0,0,-1,-120.0,True,2.5329,0.3984,0.0
11,12,-1,in,2.0,0,-1,-120.0,True,5.965,0.3984,0.0
12,15,1,out,2.0,0,1,120.0,True,6.271,0.3984,0.0
13,18,1,out,2.0,0,1,120.0,True,1.3252,0.3984,0.0
14,4,1,in,2.0,-1,0,0.0,True,0.6118,0.3984,0.0
15,7,1,in,2.0,0,1,120.0,True,1.2767,0.3984,0.0
16,4,-1,in,2.0,0,-1,-120.0,True,0.6471,5.3702,0.0
17,11,-1,in,2.0,0,-1,-120.0,True,2.457,0.3984,0.0
