step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,14,-1,out,2.0,0,-1,-120.0,True,10.3097,0.3984,0.0
2,24,1,out,2.0,0,1,120.0,True,0.3656,0.3984,0.0
3,20,-1,out,2.0,0,-1,-120.0,True,2.4352,0.3984,0.0
4,21,1,out,2.0,0,1,120.0,True,1.2402,0.3984,0.0
5,16,-1,out,2.0,0,-1,-120.0,True,3.2801,0.3984,0.0
6,2,-1,in,2.0,0,-1,-120.0,True,0.3656,0.3984,0.0
7,0,1,in,2.0,0,1,120.0,True,0.0,0.3984,0.0
8,1,-1,in,2.0,0,-1,-120.0,True,0.1211,0.3984,0.0
9,3,-1,in,2.0,0,-1,-120.0,True,0.4316,0.3984,0.0
10,2,1,in,2.0,-1,0,0.0,True,0.326,0.3984,0.0
11,2,1,in,2.0,0,1,120.0,True,0.3186,0.3984,0.0
12,6,-1,in,2.0,0,-1,-120.0,True,2.0087,0.3984,0.0
13,3,1,in,2.0,-1,0,0.0,True,0.2167,0.3984,0.0
14,5,1,in,2.0,0,1,120.0,True,1.2575,0.3984,0.0
15,1,1,in,2.0,-1,0,0.0,True,0.1211,0.3984,0.0
16,3,1,in,2.0,0,1,120.0,True,0.3255,0.3984,0.0
17,1,-1,in,2.0,0,-1,-120.0,True,0.1179,0.3984,0.0
18,5,-1,in,2.0,1,0,0.0,True,1.205,0.3984,0.0
19,6,1,in,2.0,-1,0,0.0,True,1.5983,0.3984,0.0
20,8,-1,in,2.0,0,-1,-120.0,True,3.5076,0.3984,0.0
21,6,1,in,2.0,0,1,120.0,True,1.5983,0.3984,0.0
22,8,1,in,2.0,-1,0,0.0,True,1.6516,0.3984,22.9379
23,15,-1,out,2.0,0,-1,-120.0,True,2.2618,0.3984,0.0
24,10,-1,in,2.0,0,-1,-120.0,True,3.5988,0.3984,0.0
25,8,1,in,2.0,0,1,120.0,True,1.6516,0.3984,0.0
26,5,1,in,2.0,0,1,120.0,True,1.0794,0.3984,0.0
27,10,1,in,2.0,-1,0,0.0,True,1.2617,0.3984,6.3294
28,15,1,out,2.0,-1,0,0.0,True,2.2618,0.7901,0.0
