step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,21,-1,out,2.0,0,-1,-120.0,True,1.8709,0.3984,0.0
2,23,-1,out,2.0,0,-1,-120.0,True,0.7366,0.3984,0.0
3,5,-1,in,2.0,0,-1,-120.0,True,1.6987,0.3984,0.0
4,24,1,out,2.0,0,1,120.0,True,0.3515,0.3984,4.9794
5,17,1,out,2.0,0,1,120.0,True,3.2052,0.3984,0.0
6,18,-1,out,2.0,0,-1,-120.0,True,2.5403,0.3984,0.0
7,13,-1,in,2.0,0,-1,-120.0,True,8.788,0.3984,0.0
8,6,1,in,2.0,0,1,120.0,True,1.431,0.3984,0.0
9,3,1,in,2.0,0,1,120.0,True,0.6985,0.3984,0.0
10,9,1,in,2.0,0,1,120.0,True,3.0111,0.3984,0.0
11,10,1,in,2.0,0,1,120.0,True,3.7416,0.3984,0.0
12,18,1,out,2.0,-1,0,0.0,True,2.5403,0.3984,0.0
13,14,-1,out,2.0,0,-1,-120.0,True,4.8196,0.3984,0.0
14,3,-1,in,2.0,1,0,0.0,True,0.7366,0.3984,0.0
15,18,-1,out,2.0,0,-1,-120.0,True,2.661,0.3984,0.0
16,3,1,in,2.0,0,1,120.0,True,0.7366,0.3984,0.0
