step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,0,-1,in,2.0,0,-1,-120.0,True,0.0,0.3984,0.0
2,22,-1,out,2.0,0,-1,-120.0,True,1.1156,0.3984,0.0
3,4,-1,in,2.0,0,-1,-120.0,True,1.2374,0.3984,0.0
4,5,-1,in,2.0,0,-1,-120.0,True,1.6834,0.3984,0.0
5,20,1,out,2.0,0,1,120.0,True,2.362,0.3984,0.0
6,10,-1,in,2.0,0,-1,-120.0,True,3.4304,0.3984,8.0773
7,9,1,in,2.0,0,1,120.0,True,2.2677,0.3984,0.0
8,14,-1,out,2.0,0,-1,-120.0,True,8.0636,0.3984,0.0
9,19,1,out,2.0,0,1,120.0,True,2.1699,0.3984,0.0
10,3,1,in,2.0,0,1,120.0,True,0.7366,0.3984,0.0
11,16,1,out,2.0,0,1,120.0,True,2.5923,0.3984,0.0
12,16,-1,in,2.0,1,0,0.0,True,6.2141,0.3984,4.9794
13,3,-1,in,2.0,1,0,0.0,True,0.5834,0.3984,0.0
14,10,1,in,2.0,-1,0,0.0,True,3.9281,0.3984,0.0
15,16,-1,out,2.0,0,-1,-120.0,True,2.5923,0.3984,0.0
16,10,-1,in,2.0,0,-1,-120.0,True,3.9281,0.3984,0.0
