step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,1,1,in,2.0,0,1,120.0,True,0.1068,0.3984,0.0
2,23,1,out,2.0,0,1,120.0,True,0.6594,0.3984,0.0
3,3,-1,in,2.0,0,-1,-120.0,True,0.6876,0.3984,0.0
4,18,-1,out,2.0,0,-1,-120.0,True,4.3122,0.3984,0.0
5,24,-1,out,2.0,0,-1,-120.0,True,0.3515,0.3984,0.0
6,19,1,out,2.0,0,1,120.0,True,2.546,0.3984,0.0
7,11,1,in,2.0,0,1,120.0,True,7.3547,0.3984,0.0
8,5,1,in,2.0,0,1,120.0,True,1.4324,0.3984,0.0
9,6,1,in,2.0,0,1,120.0,True,1.5549,0.3984,0.0
10,13,-1,in,2.0,0,-1,-120.0,True,3.5934,0.3984,0.0
11,7,-1,in,2.0,0,-1,-120.0,True,1.1444,0.3984,0.0
12,8,1,in,2.0,0,1,120.0,True,2.035,0.3984,22.3267
13,11,-1,out,2.0,1,0,0.0,True,8.1843,0.3984,4.9794
14,20,1,in,2.0,0,1,120.0,True,7.4418,0.3984,3.4536
15,10,1,in,2.0,0,1,120.0,True,2.4356,0.3984,3.4536
16,5,-1,in,2.0,1,0,0.0,True,1.4324,0.3984,0.0
17,7,1,in,2.0,-1,0,0.0,True,1.5447,0.3984,0.0
18,5,1,in,2.0,0,1,120.0,True,1.3484,0.3984,4.9794
19,11,1,in,2.0,0,1,120.0,True,3.4447,0.3984,0.0
20,24,1,out,2.0,-1,0,0.0,True,0.3248,0.3984,0.0
21,20,-1,out,2.0,1,0,0.0,True,1.5758,0.3984,0.0
22,21,1,out,2.0,0,1,120.0,True,1.6685,0.3984,0.0
23,24,-1,out,2.0,0,-1,-120.0,True,0.2966,0.3984,0.0
24,10,-1,in,2.0,1,0,0.0,True,0.9261,4.3294,0.0
25,20,1,out,2.0,0,1,120.0,True,1.3111,0.3984,0.0
26,10,1,in,2.0,0,1,120.0,True,0.9261,4.3294,0.0
