step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,1,1,in,2.0,0,1,120.0,True,0.1068,0.3984,0.0
2,3,-1,in,2.0,0,-1,-120.0,True,0.6876,0.3984,0.0
3,22,1,out,2.0,0,1,120.0,True,1.1574,0.3984,331.4536
4,0,1,in,2.0,0,1,120.0,True,0.0,0.3984,0.0
5,23,1,out,2.0,0,1,120.0,True,0.6985,0.3984,3.5843
6,5,-1,in,2.0,0,-1,-120.0,True,1.4295,0.3984,0.0
7,18,1,out,2.0,0,1,120.0,True,2.2896,0.3984,106.4908
8,16,1,out,2.0,0,1,120.0,True,3.9281,0.3984,0.0
9,10,1,in,2.0,0,1,120.0,True,3.3062,0.3984,158.0597
10,7,-1,out,2.0,0,-1,-120.0,True,9.3193,0.3984,250.5358
11,10,-1,in,2.0,1,0,0.0,True,3.8992,0.3984,0.0
