step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,21,-1,out,2.0,0,-1,-120.0,True,1.8709,0.3984,0.0
2,8,-1,in,2.0,0,-1,-120.0,True,4.5981,0.3984,0.0
3,0,1,in,2.0,0,1,120.0,True,0.0,0.3984,0.0
4,22,-1,out,2.0,0,-1,-120.0,True,1.2374,0.3984,0.0
5,7,1,in,2.0,0,1,120.0,True,3.5483,0.3984,0.0
6,16,1,out,2.0,0,1,120.0,True,6.1705,0.3984,0.0
7,17,-1,out,2.0,0,-1,-120.0,True,4.8475,0.3984,0.0
8,18,-1,out,2.0,0,-1,-120.0,True,3.6791,0.3984,0.0
9,19,-1,out,2.0,0,-1,-120.0,True,3.2127,0.3984,0.0
10,6,-1,in,2.0,0,-1,-120.0,True,2.6402,0.3984,0.0
11,4,1,in,2.0,0,1,120.0,True,1.2374,0.3984,0.0
12,5,1,in,2.0,0,1,120.0,True,1.1033,0.3984,0.0
13,12,-1,in,2.0,0,-1,-120.0,True,6.2406,0.3984,0.0
14,11,-1,in,2.0,0,-1,-120.0,True,3.5818,1.5843,0.0
15,12,1,in,2.0,-1,0,0.0,True,8.6604,0.3984,0.0
16,6,1,in,2.0,-1,0,0.0,True,2.3749,0.3984,0.0
17,20,-1,out,2.0,0,-1,-120.0,True,2.3332,0.3984,0.0
18,6,-1,out,2.0,0,-1,-120.0,True,6.3194,0.3984,29.7284
19,14,1,out,2.0,0,1,120.0,True,5.2375,0.3984,0.0
20,12,1,in,2.0,0,1,120.0,True,7.5605,0.3984,0.0
21,6,1,in,2.0,-1,0,0.0,True,2.3332,0.3984,0.0
22,20,1,in,2.0,-1,0,0.0,True,3.3828,0.3984,10.3102
23,12,-1,in,2.0,1,0,0.0,True,8.2039,0.3984,0.0
