step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,15,1,out,2.0,0,1,120.0,True,0.1068,0.3984,0.0
2,4,-1,in,2.0,0,-1,-120.0,True,1.2374,0.3984,0.0
3,1,-1,in,2.0,0,-1,-120.0,True,0.1211,0.3984,0.0
4,2,1,in,2.0,0,1,120.0,True,0.3186,0.3984,0.0
5,5,-1,in,2.0,0,-1,-120.0,True,1.4269,0.3984,0.0
6,8,-1,in,2.0,0,-1,-120.0,True,1.559,0.3984,32.3556
7,12,-1,out,2.0,0,-1,-120.0,True,1.1079,0.3984,0.0
8,9,-1,out,2.0,0,-1,-120.0,True,1.7671,0.3984,4.5358
9,13,1,out,2.0,0,1,120.0,True,0.6876,0.3984,0.0
10,10,-1,out,2.0,0,-1,-120.0,True,1.8034,0.3984,0.0
11,11,-1,out,2.0,0,-1,-120.0,True,1.4744,0.3984,0.0
