step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,14,-1,out,2.0,0,-1,-120.0,True,0.3656,0.3984,0.0
2,2,-1,in,2.0,0,-1,-120.0,True,0.3656,0.3984,0.0
3,11,1,out,2.0,0,1,120.0,True,1.6754,0.3984,0.0
4,6,-1,in,2.0,0,-1,-120.0,True,2.0956,0.3984,0.0
5,4,1,in,2.0,0,1,120.0,True,0.7586,0.3984,0.0
6,6,1,in,2.0,-1,0,0.0,True,1.45,0.3984,6.3294
7,8,-1,in,2.0,0,-1,-120.0,True,3.2142,0.3984,0.0
8,7,1,in,2.0,0,1,120.0,True,2.246,0.3984,0.0
9,6,1,in,2.0,0,1,120.0,True,1.3677,0.3984,0.0
10,8,1,in,2.0,-1,0,0.0,True,0.88,0.3984,10.3102
11,5,1,in,2.0,0,1,120.0,True,0.8729,0.3984,0.0
12,11,-1,out,2.0,1,0,0.0,True,1.6754,0.3984,0.0
13,6,-1,in,2.0,1,0,0.0,True,2.3618,0.3984,0.0
14,2,1,in,2.0,-1,0,0.0,True,0.3248,0.3984,0.0
15,11,1,out,2.0,0,1,120.0,True,1.6754,0.3984,0.0
16,2,-1,in,2.0,0,-1,-120.0,True,0.3248,0.3984,0.0
