step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,0,-1,in,2.0,0,-1,-120.0,True,0.0,0.3984,0.0
2,2,-1,in,2.0,0,-1,-120.0,True,0.3656,0.3984,0.0
3,4,-1,in,2.0,0,-1,-120.0,True,0.7586,0.3984,0.0
4,1,1,in,2.0,0,1,120.0,True,0.1179,0.3984,0.0
5,3,1,in,2.0,0,1,120.0,True,0.2167,0.3984,0.0
6,9,-1,out,2.0,0,-1,-120.0,True,3.5483,0.3984,0.0
7,10,-1,out,2.0,0,-1,-120.0,True,2.6402,0.3984,0.0
8,11,-1,out,2.0,0,-1,-120.0,True,1.8709,0.3984,0.0
9,14,1,out,2.0,0,1,120.0,True,0.3656,0.3984,0.0
10,7,-1,in,2.0,0,-1,-120.0,True,2.2401,0.3984,0.0
11,5,-1,in,2.0,0,-1,-120.0,True,1.3525,0.3984,0.0
