step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,4,-1,in,2.0,0,-1,-120.0,True,1.2374,0.3984,0.0
2,11,1,out,2.0,0,1,120.0,True,1.6987,0.3984,0.0
3,13,-1,out,2.0,0,-1,-120.0,True,0.7366,0.3984,0.0
4,3,1,in,2.0,0,1,120.0,True,0.7366,0.3984,0.0
5,10,-1,out,2.0,0,-1,-120.0,True,1.6605,0.3984,0.0
6,12,1,out,2.0,0,1,120.0,True,0.6549,0.3984,0.0
7,10,1,out,2.0,-1,0,0.0,True,2.3594,0.3984,0.0
8,8,-1,in,2.0,0,-1,-120.0,True,3.8461,0.3984,0.0
9,6,1,in,2.0,0,1,120.0,True,1.9373,0.3984,0.0
10,8,1,in,2.0,-1,0,0.0,True,2.1002,0.3984,33.1731
