step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,11,1,out,2.0,0,1,120.0,True,1.6987,0.3984,0.0
2,14,1,out,2.0,0,1,120.0,True,0.3656,0.3984,0.0
3,8,-1,out,2.0,0,-1,-120.0,True,3.7636,0.3984,0.0
4,13,1,out,2.0,0,1,120.0,True,0.3255,0.3984,0.0
5,15,-1,out,2.0,0,-1,-120.0,True,0.1211,0.3984,0.0
6,10,1,out,2.0,0,1,120.0,True,2.1135,0.3984,0.0
7,6,-1,in,2.0,0,-1,-120.0,True,2.6402,0.3984,0.0
8,1,-1,in,2.0,0,-1,-120.0,True,0.1211,0.3984,0.0
9,3,1,in,2.0,0,1,120.0,True,0.6779,0.3984,0.0
10,7,-1,in,2.0,0,-1,-120.0,True,1.5447,0.3984,0.0
11,6,1,in,2.0,-1,0,0.0,True,1.5439,0.3984,0.0
12,6,1,in,2.0,0,1,120.0,True,1.485,0.3984,0.0
13,4,1,in,2.0,0,1,120.0,True,0.5183,0.3984,0.0
14,3,-1,in,2.0,1,0,0.0,True,0.6876,0.3984,0.0
15,7,1,in,2.0,-1,0,0.0,True,0.2854,0.3984,32.3556
16,1,1,out,2.0,-1,0,0.0,True,7.8118,0.3984,34.9545
17,4,-1,in,2.0,1,0,0.0,True,1.1156,0.3984,0.0
18,3,1,in,2.0,0,1,120.0,True,0.6594,0.3984,0.0
19,5,1,in,2.0,0,1,120.0,True,0.9401,2.9794,24.7915
20,1,-1,in,2.0,0,-1,-120.0,True,0.1179,0.3984,0.0
