step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,0,-1,in,2.0,0,-1,-120.0,True,0.0,0.3984,0.0
2,2,-1,in,2.0,0,-1,-120.0,True,0.3656,0.3984,0.0
3,9,-1,out,2.0,0,-1,-120.0,True,3.5483,0.3984,0.0
4,11,-1,out,2.0,0,-1,-120.0,True,1.8709,0.3984,0.0
5,5,-1,in,2.0,0,-1,-120.0,True,1.6754,0.3984,0.0
6,11,1,in,2.0,-1,0,0.0,True,5.0006,0.3984,12.7872
7,9,1,in,2.0,-1,0,0.0,True,3.0188,0.3984,0.0
8,9,-1,out,2.0,0,-1,-120.0,True,3.2658,0.3984,0.0
9,11,-1,out,2.0,0,-1,-120.0,True,1.8709,0.3984,0.0
10,12,1,out,2.0,0,1,120.0,True,1.2374,0.3984,0.0
11,12,-1,in,2.0,1,0,0.0,True,2.7861,0.3984,35.5657
12,9,1,in,2.0,-1,0,0.0,True,2.8208,0.3984,0.0
13,9,1,in,2.0,0,1,120.0,True,3.0188,0.3984,0.0
