step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,0,-1,in,2.0,0,-1,-120.0,True,0.0,0.3984,0.0
2,15,1,out,2.0,0,1,120.0,True,0.1068,0.3984,0.0
3,2,-1,in,2.0,0,-1,-120.0,True,0.3656,0.3984,0.0
4,4,-1,in,2.0,0,-1,-120.0,True,0.7586,0.3984,0.0
5,3,1,in,2.0,0,1,120.0,True,0.3255,0.3984,0.0
6,6,-1,in,2.0,0,-1,-120.0,True,1.5337,0.3984,0.0
7,8,-1,in,2.0,0,-1,-120.0,True,0.88,0.3984,0.0
8,5,-1,in,2.0,0,-1,-120.0,True,1.6651,0.3984,0.0
9,10,-1,out,2.0,0,-1,-120.0,True,2.4008,0.3984,0.0
10,12,1,in,2.0,0,1,120.0,True,0.5224,0.3984,6.3294
11,10,1,in,2.0,-1,0,0.0,True,2.5288,0.3984,29.2649
12,8,1,out,2.0,-1,0,0.0,True,2.5966,0.3984,3.5329
