step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,1,-1,in,2.0,0,-1,-120.0,True,0.1211,0.3984,0.0
2,6,1,in,2.0,0,1,120.0,True,2.4008,0.3984,0.0
3,16,-1,out,2.0,0,-1,-120.0,True,6.6968,0.3984,0.0
4,17,1,out,2.0,0,1,120.0,True,5.4022,0.3984,0.0
5,20,-1,out,2.0,0,-1,-120.0,True,2.6402,0.3984,0.0
6,23,1,out,2.0,0,1,120.0,True,0.7366,0.3984,0.0
7,18,1,out,2.0,0,1,120.0,True,4.1363,0.3984,0.0
8,24,-1,out,2.0,0,-1,-120.0,True,0.3248,0.3984,0.0
9,4,-1,in,2.0,0,-1,-120.0,True,1.1079,0.3984,0.0
10,2,1,in,2.0,0,1,120.0,True,0.3223,0.3984,0.0
11,11,-1,in,2.0,0,-1,-120.0,True,7.6321,0.3984,0.0
12,13,1,in,2.0,0,1,120.0,True,8.9201,0.3984,0.0
13,8,-1,in,2.0,0,-1,-120.0,True,2.3167,0.3984,0.0
14,10,-1,in,2.0,0,-1,-120.0,True,3.33,0.3984,0.0
15,12,-1,in,2.0,0,-1,-120.0,True,7.7622,0.3984,0.0
16,9,-1,in,2.0,0,-1,-120.0,True,4.9523,0.3984,0.0
