step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,25,1,out,2.0,0,1,120.0,True,0.1211,0.3984,0.0
2,4,-1,in,2.0,0,-1,-120.0,True,1.2374,0.3984,0.0
3,2,1,in,2.0,0,1,120.0,True,0.3656,0.3984,0.0
4,20,1,out,2.0,0,1,120.0,True,2.4008,0.3984,0.0
5,24,1,out,2.0,0,1,120.0,True,0.2071,0.3984,9.7353
6,7,-1,in,2.0,0,-1,-120.0,True,2.3477,0.3984,0.0
7,6,1,in,2.0,0,1,120.0,True,1.5337,0.3984,0.0
8,21,1,out,2.0,0,1,120.0,True,1.5098,0.3984,0.0
9,22,1,out,2.0,0,1,120.0,True,0.8927,0.3984,0.0
10,17,1,out,2.0,0,1,120.0,True,2.9127,0.3984,0.0
11,21,-1,out,2.0,1,0,0.0,True,1.6651,0.3984,0.0
12,15,1,out,2.0,0,1,120.0,True,7.8289,0.3984,0.0
13,10,-1,in,2.0,0,-1,-120.0,True,4.6731,0.3984,0.0
14,8,1,in,2.0,0,1,120.0,True,2.4384,0.3984,0.0
15,21,-1,out,2.0,0,-1,-120.0,True,1.6651,0.3984,0.0
16,9,1,in,2.0,0,1,120.0,True,2.5813,0.3984,0.0
17,21,1,out,2.0,-1,0,0.0,True,1.6651,0.3984,0.0
18,12,-1,in,2.0,0,-1,-120.0,True,6.5276,0.3984,0.0
19,11,-1,in,2.0,0,-1,-120.0,True,2.1749,0.3984,0.0
20,12,1,in,2.0,-1,0,0.0,True,6.3132,0.3984,0.0
21,10,1,in,2.0,-1,0,0.0,True,6.4566,0.3984,0.0
