step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,24,-1,out,2.0,0,-1,-120.0,True,0.3656,0.3984,0.0
2,8,-1,in,2.0,0,-1,-120.0,True,4.5981,0.3984,0.0
3,3,1,in,2.0,0,1,120.0,True,0.7366,0.3984,0.0
4,25,-1,out,2.0,0,-1,-120.0,True,0.1211,0.3984,0.0
5,5,1,in,2.0,0,1,120.0,True,0.9843,0.3984,0.0
6,6,1,in,2.0,0,1,120.0,True,2.2001,0.3984,0.0
7,12,-1,in,2.0,0,-1,-120.0,True,6.5825,0.3984,0.0
8,11,-1,in,2.0,0,-1,-120.0,True,5.0174,0.3984,0.0
9,20,1,out,2.0,0,1,120.0,True,2.1368,0.3984,0.0
10,21,1,out,2.0,0,1,120.0,True,1.2366,0.3984,0.0
11,20,-1,out,2.0,1,0,0.0,True,2.1135,0.3984,0.0
12,10,-1,in,2.0,0,-1,-120.0,True,3.6156,0.3984,0.0
13,15,1,in,2.0,0,1,120.0,True,4.2235,0.3984,0.0
14,13,1,out,2.0,0,1,120.0,True,8.1957,0.3984,4.9794
15,20,-1,out,2.0,0,-1,-120.0,True,1.9678,0.3984,0.0
16,15,-1,out,2.0,1,0,0.0,True,3.7689,0.3984,6.1013
17,16,-1,out,2.0,0,-1,-120.0,True,3.5232,0.3984,0.0
18,11,1,out,2.0,-1,0,0.0,True,4.9609,0.3984,0.0
19,15,-1,out,2.0,0,-1,-120.0,True,2.7024,0.3984,0.0
20,10,1,out,2.0,-1,0,0.0,True,9.1842,0.3984,0.0
21,14,1,out,2.0,0,1,120.0,True,4.598,0.3984,0.0
22,11,-1,out,2.0,0,-1,-120.0,True,8.5692,0.3984,0.0
