step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,1,1,in,2.0,0,1,120.0,True,0.1211,0.3984,0.0
2,21,1,out,2.0,0,1,120.0,True,1.8709,0.3984,0.0
3,8,-1,in,2.0,0,-1,-120.0,True,4.2422,0.3984,0.0
4,15,-1,in,2.0,0,-1,-120.0,True,8.8133,0.3984,11.2801
5,5,1,in,2.0,0,1,120.0,True,1.4187,0.3984,0.0
6,6,1,in,2.0,0,1,120.0,True,2.129,0.3984,0.0
7,10,1,in,2.0,0,1,120.0,True,2.9305,0.3984,0.0
8,13,1,in,2.0,0,1,120.0,True,3.8462,0.3984,0.0
9,14,1,out,2.0,0,1,120.0,True,6.3512,0.3984,9.7353
10,22,1,in,2.0,0,1,120.0,True,8.066,1.4536,10.28
11,12,-1,in,2.0,0,-1,-120.0,True,2.9828,0.3984,3.5843
