step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,10,-1,in,2.0,0,-1,-120.0,True,7.1435,0.3984,0.0
2,9,-1,in,2.0,0,-1,-120.0,True,5.7932,0.3984,0.0
3,12,-1,in,2.0,0,-1,-120.0,True,8.4287,0.3984,0.0
4,11,-1,in,2.0,0,-1,-120.0,True,6.8282,0.3984,0.0
5,12,1,in,2.0,-1,0,0.0,True,9.4779,0.3984,0.0
6,18,-1,out,2.0,0,-1,-120.0,True,4.5981,0.3984,0.0
7,19,1,out,2.0,0,1,120.0,True,3.5483,0.3984,0.0
8,14,-1,out,2.0,0,-1,-120.0,True,8.3265,0.3984,0.0
9,18,1,out,2.0,-1,0,0.0,True,4.188,0.3984,0.0
10,15,-1,out,2.0,0,-1,-120.0,True,3.9814,0.3984,0.0
11,17,-1,out,2.0,0,-1,-120.0,True,5.2576,0.3984,0.0
12,18,-1,out,2.0,0,-1,-120.0,True,4.188,0.3984,0.0
13,15,1,out,2.0,-1,0,0.0,True,6.7264,0.3984,0.0
14,14,1,out,2.0,-1,0,0.0,True,5.8341,0.3984,0.0
15,18,1,out,2.0,-1,0,0.0,True,4.2624,0.3984,0.0
16,8,1,in,2.0,0,1,120.0,True,4.5981,0.3984,0.0
17,7,-1,in,2.0,0,-1,-120.0,True,3.5483,0.3984,0.0
18,4,1,in,2.0,0,1,120.0,True,1.2374,0.3984,0.0
19,6,-1,in,2.0,0,-1,-120.0,True,1.2131,0.3984,0.0
20,8,-1,in,2.0,1,0,0.0,True,0.8575,0.3984,10.3102
21,4,-1,in,2.0,1,0,0.0,True,1.2374,0.3984,0.0
22,6,1,in,2.0,-1,0,0.0,True,2.6402,0.3984,0.0
