step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,4,-1,in,2.0,0,-1,-120.0,True,1.2374,0.3984,0.0
2,2,1,in,2.0,0,1,120.0,True,0.3656,0.3984,0.0
3,6,-1,in,2.0,0,-1,-120.0,True,1.5337,0.3984,0.0
4,8,-1,in,2.0,0,-1,-120.0,True,0.88,0.3984,0.0
5,5,-1,in,2.0,0,-1,-120.0,True,1.6651,0.3984,0.0
6,7,1,in,2.0,0,1,120.0,True,1.9192,0.3984,0.0
7,21,-1,out,2.0,0,-1,-120.0,True,1.8709,0.3984,0.0
8,25,-1,out,2.0,0,-1,-120.0,True,0.1211,0.3984,0.0
9,11,1,in,2.0,0,1,120.0,True,5.3653,0.3984,0.0
10,10,1,in,2.0,0,1,120.0,True,3.954,0.3984,0.0
11,11,-1,in,2.0,1,0,0.0,True,5.9838,0.3984,0.0
12,15,1,out,2.0,0,1,120.0,True,7.6321,0.3984,0.0
