step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,1,1,in,2.0,0,1,120.0,True,0.1068,0.3984,0.0
2,4,-1,in,2.0,0,-1,-120.0,True,1.1848,0.3984,0.0
3,25,1,out,2.0,0,1,120.0,True,0.1211,0.3984,0.0
4,0,1,in,2.0,0,1,120.0,True,0.0,0.3984,0.0
5,2,-1,in,2.0,0,-1,-120.0,True,0.3186,0.3984,0.0
6,3,1,in,2.0,0,1,120.0,True,0.2167,0.3984,0.0
7,9,-1,in,2.0,0,-1,-120.0,True,5.0272,0.3984,0.0
8,23,1,out,2.0,0,1,120.0,True,0.6542,0.3984,0.0
9,24,1,out,2.0,0,1,120.0,True,0.2071,0.3984,9.7353
10,23,-1,out,2.0,1,0,0.0,True,0.6517,0.3984,0.0
11,18,-1,out,2.0,0,-1,-120.0,True,4.1628,0.3984,0.0
12,23,-1,out,2.0,0,-1,-120.0,True,0.6387,0.3984,0.0
13,16,1,out,2.0,0,1,120.0,True,2.6829,0.3984,0.0
14,17,-1,out,2.0,0,-1,-120.0,True,2.7718,0.3984,0.0
15,16,-1,out,2.0,1,0,0.0,True,3.9389,0.3984,9.7353
16,18,1,out,2.0,-1,0,0.0,True,3.6678,0.3984,0.0
