step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,24,-1,out,2.0,0,-1,-120.0,True,0.3656,0.3984,0.0
2,8,-1,in,2.0,0,-1,-120.0,True,4.5981,0.3984,0.0
3,3,1,in,2.0,0,1,120.0,True,0.7366,0.3984,0.0
4,25,-1,out,2.0,0,-1,-120.0,True,0.1211,0.3984,0.0
5,5,1,in,2.0,0,1,120.0,True,0.9843,0.3984,0.0
6,6,1,in,2.0,0,1,120.0,True,2.2001,0.3984,0.0
7,9,-1,in,2.0,0,-1,-120.0,True,3.0188,0.3984,0.0
8,20,1,out,2.0,0,1,120.0,True,2.1368,0.3984,0.0
9,21,1,out,2.0,0,1,120.0,True,1.2366,0.3984,0.0
10,20,-1,out,2.0,1,0,0.0,True,2.1135,0.3984,0.0
11,16,1,out,2.0,0,1,120.0,True,6.3552,0.3984,0.0
12,20,-1,out,2.0,0,-1,-120.0,True,1.9678,0.3984,0.0
13,14,-1,out,2.0,0,-1,-120.0,True,1.6745,0.3984,0.0
14,16,-1,out,2.0,1,0,0.0,True,3.5232,0.3984,0.0
15,13,-1,out,2.0,0,-1,-120.0,True,6.7709,0.3984,0.0
16,14,1,out,2.0,-1,0,0.0,True,6.2355,0.3984,0.0
17,16,-1,out,2.0,0,-1,-120.0,True,3.5232,0.3984,0.0
18,9,1,in,2.0,-1,0,0.0,True,3.0188,0.3984,0.0
19,13,1,out,2.0,-1,0,0.0,True,5.7704,0.3984,0.0
20,9,-1,in,2.0,0,-1,-120.0,True,3.0188,0.3984,0.0
