step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,0,-1,in,2.0,0,-1,-120.0,True,0.0,0.3984,0.0
2,24,-1,out,2.0,0,-1,-120.0,True,0.3656,0.3984,0.0
3,4,-1,in,2.0,0,-1,-120.0,True,1.2374,0.3984,0.0
4,1,1,in,2.0,0,1,120.0,True,0.1211,0.3984,0.0
5,25,-1,out,2.0,0,-1,-120.0,True,0.1211,0.3984,0.0
6,7,-1,in,2.0,0,-1,-120.0,True,1.8786,0.3984,0.0
7,20,1,out,2.0,0,1,120.0,True,2.1368,0.3984,0.0
8,21,1,out,2.0,0,1,120.0,True,1.2366,0.3984,0.0
9,20,-1,out,2.0,1,0,0.0,True,2.1135,0.3984,0.0
10,10,-1,in,2.0,0,-1,-120.0,True,1.9814,0.3984,0.0
11,5,-1,in,2.0,0,-1,-120.0,True,1.4347,2.9794,0.0
12,8,1,in,2.0,0,1,120.0,True,1.3264,0.3984,0.0
13,9,1,in,2.0,0,1,120.0,True,1.432,0.3984,0.0
14,11,1,in,2.0,0,1,120.0,True,1.2423,0.3984,0.0
15,10,1,in,2.0,-1,0,0.0,True,3.9319,0.3984,0.0
16,15,1,in,2.0,0,1,120.0,True,7.7438,0.3984,0.0
17,13,1,in,2.0,0,1,120.0,True,2.2111,0.3984,0.0
18,15,-1,in,2.0,1,0,0.0,True,10.1768,0.3984,0.0
19,11,-1,in,2.0,1,0,0.0,True,5.241,0.3984,0.0
20,14,-1,out,2.0,0,-1,-120.0,True,7.5799,0.3984,0.0
21,20,-1,out,2.0,0,-1,-120.0,True,1.9678,0.3984,0.0
22,13,-1,out,2.0,1,0,0.0,True,6.7709,0.3984,0.0
23,14,1,out,2.0,-1,0,0.0,True,6.2355,0.3984,0.0
24,16,-1,out,2.0,0,-1,-120.0,True,3.5232,0.3984,0.0
25,13,1,out,2.0,0,1,120.0,True,5.7704,0.3984,0.0
