step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,20,-1,out,2.0,0,-1,-120.0,True,2.4137,0.3984,0.0
2,14,1,out,2.0,0,1,120.0,True,9.4788,0.3984,0.0
3,21,1,out,2.0,0,1,120.0,True,1.7259,0.3984,0.0
4,6,-1,in,2.0,0,-1,-120.0,True,2.4137,0.3984,0.0
5,0,-1,in,2.0,0,-1,-120.0,True,0.0,0.3984,27.3333
6,11,-1,in,2.0,0,-1,-120.0,True,4.7018,0.3984,11.951
7,6,1,in,2.0,-1,0,0.0,True,2.6402,0.3984,0.0
8,8,-1,in,2.0,0,-1,-120.0,True,4.5981,0.3984,0.0
9,8,1,out,2.0,-1,0,0.0,True,4.1735,0.3984,3.5843
10,11,1,in,2.0,-1,0,0.0,True,8.1492,0.3984,0.0
