step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,0,-1,in,2.0,0,-1,-120.0,True,0.0,0.3984,0.0
2,4,-1,in,2.0,0,-1,-120.0,True,1.2374,0.3984,0.0
3,23,1,out,2.0,0,1,120.0,True,0.6594,0.3984,0.0
4,3,1,in,2.0,0,1,120.0,True,0.7366,0.3984,0.0
5,12,-1,in,2.0,0,-1,-120.0,True,9.4794,0.3984,0.0
6,19,-1,out,2.0,0,-1,-120.0,True,3.2038,0.3984,0.0
7,22,1,out,2.0,0,1,120.0,True,1.1012,0.3984,0.0
8,15,1,out,2.0,0,1,120.0,True,6.271,0.3984,0.0
9,11,-1,out,2.0,0,-1,-120.0,True,4.9684,0.3984,27.6833
10,19,1,out,2.0,-1,0,0.0,True,1.1714,0.3984,0.0
11,10,-1,in,2.0,0,-1,-120.0,True,6.2465,0.3984,0.0
12,15,-1,out,2.0,1,0,0.0,True,6.1562,0.3984,0.0
13,10,1,out,2.0,-1,0,0.0,True,11.344,0.3984,8.0773
