step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,0,-1,in,2.0,0,-1,-120.0,True,0.0,0.3984,0.0
2,18,-1,out,2.0,0,-1,-120.0,True,4.5981,0.3984,0.0
3,11,1,in,2.0,0,1,120.0,True,8.6479,0.3984,0.0
4,14,-1,out,2.0,0,-1,-120.0,True,4.9203,0.3984,0.0
5,16,-1,out,2.0,0,-1,-120.0,True,4.1711,2.9794,0.0
6,15,-1,out,2.0,0,-1,-120.0,True,5.4763,0.3984,0.0
7,3,1,in,2.0,0,1,120.0,True,0.7366,0.3984,0.0
8,20,-1,in,2.0,0,-1,-120.0,True,4.6957,0.3984,2.3606
9,13,1,in,2.0,0,1,120.0,True,7.1597,0.3984,0.0
10,12,-1,out,2.0,0,-1,-120.0,True,7.7278,0.3984,0.0
11,14,1,out,2.0,-1,0,0.0,True,6.7451,0.3984,0.0
12,12,1,out,2.0,-1,0,0.0,True,2.0304,0.3984,0.0
13,14,1,out,2.0,0,1,120.0,True,6.7451,0.3984,0.0
14,20,1,in,2.0,-1,0,0.0,True,7.1839,0.3984,23.6992
