step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,2,-1,in,2.0,0,-1,-120.0,True,0.3656,0.3984,0.0
2,13,-1,out,2.0,0,-1,-120.0,True,11.5481,0.3984,0.0
3,25,-1,out,2.0,0,-1,-120.0,True,0.1211,0.3984,0.0
4,22,1,out,2.0,0,1,120.0,True,1.1079,0.3984,0.0
5,15,1,out,2.0,0,1,120.0,True,6.4084,0.3984,0.0
6,5,-1,in,2.0,0,-1,-120.0,True,1.6754,0.3984,0.0
7,18,1,out,2.0,0,1,120.0,True,3.7564,0.3984,0.0
8,11,1,out,2.0,0,1,120.0,True,3.2865,0.3984,4.9794
9,15,-1,out,2.0,1,0,0.0,True,5.2462,0.3984,0.0
10,17,-1,out,2.0,0,-1,-120.0,True,2.835,0.3984,0.0
11,15,-1,out,2.0,0,-1,-120.0,True,2.6202,0.3984,29.7284
12,20,1,out,2.0,0,1,120.0,True,1.1839,0.3984,0.0
13,11,-1,out,2.0,1,0,0.0,True,8.678,0.3984,0.0
14,20,-1,out,2.0,1,0,0.0,True,1.1065,0.3984,0.0
15,17,1,out,2.0,-1,0,0.0,True,3.1205,0.3984,0.0
