step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,25,1,out,2.0,0,1,120.0,True,0.1211,0.3984,0.0
2,22,-1,out,2.0,0,-1,-120.0,True,1.1079,0.3984,0.0
3,4,-1,in,2.0,0,-1,-120.0,True,1.2374,0.3984,0.0
4,5,-1,in,2.0,0,-1,-120.0,True,1.6834,0.3984,0.0
5,12,-1,in,2.0,0,-1,-120.0,True,6.3686,0.3984,0.0
6,6,-1,in,2.0,0,-1,-120.0,True,0.9399,0.3984,0.0
7,8,1,in,2.0,0,1,120.0,True,2.7475,0.3984,0.0
8,9,1,in,2.0,0,1,120.0,True,2.2865,0.3984,0.0
9,15,1,in,2.0,0,1,120.0,True,5.5281,0.3984,0.0
10,13,1,out,2.0,0,1,120.0,True,8.4931,0.3984,4.9794
11,18,1,out,2.0,0,1,120.0,True,2.6602,0.3984,0.0
12,8,-1,out,2.0,1,0,0.0,True,4.9713,0.3984,0.0
13,11,-1,in,2.0,0,-1,-120.0,True,5.2015,0.3984,6.1013
14,15,-1,in,2.0,1,0,0.0,True,1.7909,0.3984,17.6295
15,8,1,in,2.0,0,1,120.0,True,2.7049,0.3984,0.0
16,19,1,out,2.0,0,1,120.0,True,1.8786,0.3984,0.0
