step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,0,-1,in,2.0,0,-1,-120.0,True,0.0,0.3984,0.0
2,22,-1,out,2.0,0,-1,-120.0,True,1.1156,0.3984,0.0
3,7,-1,in,2.0,0,-1,-120.0,True,3.5483,0.3984,0.0
4,5,1,in,2.0,0,1,120.0,True,1.8709,0.3984,0.0
5,13,-1,in,2.0,0,-1,-120.0,True,9.2874,0.3984,0.0
6,6,1,in,2.0,0,1,120.0,True,2.3749,0.3984,0.0
7,8,1,in,2.0,0,1,120.0,True,2.3429,0.3984,0.0
8,9,1,in,2.0,0,1,120.0,True,1.7044,0.3984,0.0
9,20,1,out,2.0,0,1,120.0,True,2.362,0.3984,0.0
10,23,-1,out,2.0,0,-1,-120.0,True,0.7366,0.3984,0.0
11,20,-1,out,2.0,1,0,0.0,True,2.3775,0.3984,0.0
12,18,-1,out,2.0,0,-1,-120.0,True,3.7662,0.3984,0.0
13,19,1,out,2.0,0,1,120.0,True,2.818,0.3984,0.0
14,11,1,in,2.0,0,1,120.0,True,4.4626,0.3984,0.0
15,11,-1,out,2.0,1,0,0.0,True,7.4569,0.3984,4.9794
16,18,1,out,2.0,-1,0,0.0,True,4.1518,0.3984,0.0
17,15,-1,out,2.0,0,-1,-120.0,True,4.3499,0.3984,0.0
18,11,-1,in,2.0,0,-1,-120.0,True,4.4626,0.3984,0.0
19,16,-1,in,2.0,0,-1,-120.0,True,5.2983,0.3984,0.0
