step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,1,1,in,2.0,0,1,120.0,True,0.1068,0.3984,0.0
2,23,1,out,2.0,0,1,120.0,True,0.6594,0.3984,0.0
3,4,-1,in,2.0,0,-1,-120.0,True,1.1848,0.3984,0.0
4,0,1,in,2.0,0,1,120.0,True,0.0,0.3984,0.0
5,7,-1,in,2.0,0,-1,-120.0,True,1.8786,0.3984,0.0
6,18,-1,out,2.0,0,-1,-120.0,True,4.3122,0.3984,0.0
7,24,-1,out,2.0,0,-1,-120.0,True,0.3515,0.3984,0.0
8,19,-1,out,2.0,0,-1,-120.0,True,2.5934,0.3984,0.0
9,20,-1,out,2.0,0,-1,-120.0,True,1.3128,0.3984,0.0
10,10,-1,in,2.0,0,-1,-120.0,True,1.9814,0.3984,0.0
11,5,-1,in,2.0,0,-1,-120.0,True,1.4347,2.9794,0.0
12,8,1,in,2.0,0,1,120.0,True,1.3264,0.3984,0.0
13,14,-1,out,2.0,0,-1,-120.0,True,5.9257,0.3984,0.0
14,15,-1,out,2.0,0,-1,-120.0,True,7.0322,0.3984,0.0
15,20,1,out,2.0,-1,0,0.0,True,1.3111,0.3984,0.0
16,20,-1,in,2.0,0,-1,-120.0,True,7.6871,0.3984,19.0372
17,13,1,in,2.0,0,1,120.0,True,4.9713,0.3984,0.0
18,14,1,out,2.0,-1,0,0.0,True,6.4491,0.3984,0.0
19,16,-1,out,2.0,0,-1,-120.0,True,2.9016,0.3984,0.0
20,14,1,in,2.0,0,1,120.0,True,5.3546,0.3984,0.0
