step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,0,-1,in,2.0,0,-1,-120.0,True,0.0,0.3984,0.0
2,24,-1,out,2.0,0,-1,-120.0,True,0.3656,0.3984,0.0
3,8,-1,in,2.0,0,-1,-120.0,True,4.5981,0.3984,0.0
4,25,-1,out,2.0,0,-1,-120.0,True,0.1211,0.3984,0.0
5,5,1,in,2.0,0,1,120.0,True,1.8709,0.3984,0.0
6,11,1,in,2.0,0,1,120.0,True,1.6818,0.3984,0.0
7,6,1,in,2.0,0,1,120.0,True,2.3749,0.3984,0.0
8,20,1,out,2.0,0,1,120.0,True,2.1368,0.3984,0.0
9,21,1,out,2.0,0,1,120.0,True,1.2366,0.3984,0.0
10,20,-1,out,2.0,1,0,0.0,True,2.1135,0.3984,0.0
11,15,1,in,2.0,0,1,120.0,True,6.1624,0.3984,0.0
12,13,1,out,2.0,0,1,120.0,True,8.1957,0.3984,4.9794
13,20,-1,out,2.0,0,-1,-120.0,True,1.9678,0.3984,0.0
14,15,-1,out,2.0,1,0,0.0,True,3.7689,0.3984,6.1013
15,11,-1,in,2.0,1,0,0.0,True,4.5248,0.3984,0.0
16,16,-1,out,2.0,0,-1,-120.0,True,3.5232,0.3984,0.0
17,10,1,in,2.0,0,1,120.0,True,3.1224,0.3984,0.0
18,7,-1,out,2.0,0,-1,-120.0,True,1.364,0.3984,28.9063
19,7,1,in,2.0,-1,0,0.0,True,1.3435,0.3984,14.0069
20,11,1,out,2.0,0,1,120.0,True,2.9844,2.9794,33.1731
