step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,25,1,out,2.0,0,1,120.0,True,0.1211,0.3984,0.0
2,4,-1,in,2.0,0,-1,-120.0,True,1.2374,0.3984,0.0
3,0,1,in,2.0,0,1,120.0,True,0.0,0.3984,0.0
4,3,1,in,2.0,0,1,120.0,True,0.7366,0.3984,0.0
5,6,-1,in,2.0,0,-1,-120.0,True,1.9373,0.3984,0.0
6,5,-1,in,2.0,0,-1,-120.0,True,1.6419,0.3984,0.0
7,19,-1,out,2.0,0,-1,-120.0,True,3.2503,0.3984,0.0
8,10,-1,in,2.0,0,-1,-120.0,True,5.6312,0.3984,0.0
9,7,1,in,2.0,0,1,120.0,True,2.1424,0.3984,0.0
10,9,1,in,2.0,0,1,120.0,True,2.1386,0.3984,0.0
11,12,-1,in,2.0,0,-1,-120.0,True,5.4795,0.3984,0.0
12,10,1,in,2.0,-1,0,0.0,True,5.4085,0.3984,0.0
13,15,1,in,2.0,0,1,120.0,True,3.6385,0.3984,0.0
14,12,1,out,2.0,-1,0,0.0,True,8.155,0.3984,35.3225
15,17,-1,out,2.0,0,-1,-120.0,True,4.9885,0.3984,0.0
16,15,-1,out,2.0,1,0,0.0,True,0.9714,0.3984,25.7245
17,11,1,out,2.0,0,1,120.0,True,6.7605,0.3984,0.0
18,15,-1,out,2.0,0,-1,-120.0,True,0.9714,0.3984,0.0
19,11,-1,out,2.0,1,0,0.0,True,5.8863,0.3984,0.0
20,17,1,out,2.0,-1,0,0.0,True,4.9885,0.3984,0.0
