step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,3,-1,in,2.0,0,-1,-120.0,True,0.7366,0.3984,0.0
2,1,-1,in,2.0,0,-1,-120.0,True,0.1211,0.3984,0.0
3,25,1,out,2.0,0,1,120.0,True,0.1211,0.3984,0.0
4,21,-1,out,2.0,0,-1,-120.0,True,1.6837,0.3984,0.0
5,24,1,out,2.0,0,1,120.0,True,0.2135,0.3984,0.0
6,5,-1,in,2.0,0,-1,-120.0,True,1.5486,0.3984,0.0
7,2,1,in,2.0,0,1,120.0,True,0.3223,0.3984,0.0
8,19,-1,out,2.0,0,-1,-120.0,True,3.1806,0.3984,0.0
9,11,1,in,2.0,0,1,120.0,True,7.2495,0.3984,0.0
10,6,-1,in,2.0,0,-1,-120.0,True,1.2126,0.3984,0.0
11,7,1,in,2.0,0,1,120.0,True,2.0547,0.3984,0.0
12,4,-1,in,2.0,0,-1,-120.0,True,0.6118,0.3984,0.0
13,13,-1,in,2.0,0,-1,-120.0,True,4.1177,0.3984,0.0
14,12,1,in,2.0,0,1,120.0,True,4.6358,0.3984,0.0
15,4,1,in,2.0,-1,0,0.0,True,0.6118,0.3984,0.0
16,20,1,out,2.0,0,1,120.0,True,2.362,0.3984,0.0
17,17,1,out,2.0,0,1,120.0,True,1.2612,0.3984,0.0
18,11,-1,in,2.0,1,0,0.0,True,7.067,0.3984,0.0
19,14,-1,out,2.0,0,-1,-120.0,True,5.3529,0.3984,0.0
20,16,-1,out,2.0,0,-1,-120.0,True,0.9951,0.3984,0.0
21,21,1,out,2.0,-1,0,0.0,True,1.4373,0.3984,0.0
22,20,-1,out,2.0,1,0,0.0,True,1.9594,0.3984,0.0
23,11,1,out,2.0,0,1,120.0,True,8.2173,0.3984,0.0
24,21,-1,out,2.0,0,-1,-120.0,True,1.4373,0.3984,0.0
