step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,1,1,in,2.0,0,1,120.0,True,0.1068,0.3984,0.0
2,25,1,out,2.0,0,1,120.0,True,0.1211,0.3984,0.0
3,23,1,out,2.0,0,1,120.0,True,0.6542,0.3984,0.0
4,0,1,in,2.0,0,1,120.0,True,0.0,0.3984,27.3333
5,21,-1,out,2.0,0,-1,-120.0,True,1.4324,0.3984,0.0
6,10,-1,in,2.0,0,-1,-120.0,True,7.0874,0.3984,0.0
7,5,1,in,2.0,0,1,120.0,True,1.8004,0.3984,0.0
8,9,1,in,2.0,0,1,120.0,True,3.017,0.3984,0.0
9,6,1,in,2.0,0,1,120.0,True,2.129,1.5843,0.0
10,14,-1,out,2.0,0,-1,-120.0,True,7.0185,0.3984,0.0
11,17,-1,out,2.0,0,-1,-120.0,True,2.7981,0.3984,0.0
12,14,1,out,2.0,-1,0,0.0,True,7.7082,0.3984,0.0
13,11,1,in,2.0,0,1,120.0,True,0.6028,0.3984,0.0
14,10,1,in,2.0,-1,0,0.0,True,2.7777,0.3984,0.0
15,13,-1,in,2.0,0,-1,-120.0,True,1.7891,0.3984,0.0
16,11,-1,out,2.0,1,0,0.0,True,8.5962,0.3984,4.9794
17,15,-1,out,2.0,0,-1,-120.0,True,3.2479,0.3984,0.0
18,13,1,out,2.0,-1,0,0.0,True,5.1784,0.3984,6.3294
19,12,-1,out,2.0,0,-1,-120.0,True,6.6972,0.3984,0.0
20,13,1,out,2.0,0,1,120.0,True,5.1784,0.3984,0.0
21,12,1,out,2.0,-1,0,0.0,True,3.4151,0.3984,28.9063
22,18,1,out,2.0,0,1,120.0,True,1.561,0.3984,0.0
23,15,1,out,2.0,-1,0,0.0,True,0.5693,0.3984,0.0
24,14,1,out,2.0,0,1,120.0,True,5.8031,0.3984,0.0
25,18,-1,out,2.0,1,0,0.0,True,1.755,0.3984,0.0
26,14,-1,out,2.0,1,0,0.0,True,7.7082,0.3984,0.0
