step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,21,-1,out,2.0,0,-1,-120.0,True,1.8709,0.3984,0.0
2,14,-1,out,2.0,0,-1,-120.0,True,7.4922,0.3984,0.0
3,19,-1,out,2.0,0,-1,-120.0,True,2.8999,0.3984,0.0
4,12,-1,out,2.0,0,-1,-120.0,True,8.7319,0.3984,0.0
5,6,-1,in,2.0,0,-1,-120.0,True,2.6402,0.3984,0.0
6,0,1,in,2.0,0,1,120.0,True,0.0,0.3984,0.0
7,5,1,in,2.0,0,1,120.0,True,1.8709,0.3984,0.0
8,10,-1,in,2.0,0,-1,-120.0,True,5.6957,0.3984,0.0
9,6,1,in,2.0,-1,0,0.0,True,2.3749,0.3984,0.0
10,4,1,in,2.0,0,1,120.0,True,1.2374,0.3984,0.0
11,7,1,in,2.0,0,1,120.0,True,3.2127,0.3984,0.0
12,6,1,in,2.0,0,1,120.0,True,1.9749,0.3984,0.0
13,10,1,in,2.0,-1,0,0.0,True,2.802,0.3984,0.0
14,6,-1,in,2.0,1,0,0.0,True,2.4234,0.3984,0.0
15,4,-1,in,2.0,1,0,0.0,True,1.1156,0.3984,0.0
