step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,2,-1,in,2.0,0,-1,-120.0,True,0.3656,0.3984,0.0
2,0,1,in,2.0,0,1,120.0,True,0.0,0.3984,0.0
3,20,1,out,2.0,0,1,120.0,True,2.4137,0.3984,0.0
4,22,-1,out,2.0,0,-1,-120.0,True,1.2374,0.3984,0.0
5,16,1,out,2.0,0,1,120.0,True,2.906,0.3984,0.0
6,21,-1,out,2.0,0,-1,-120.0,True,1.1033,0.3984,0.0
7,17,-1,out,2.0,0,-1,-120.0,True,2.0573,0.3984,0.0
8,18,-1,out,2.0,0,-1,-120.0,True,2.9224,0.3984,0.0
9,11,1,in,2.0,0,1,120.0,True,8.0329,0.3984,0.0
10,7,1,in,2.0,0,1,120.0,True,2.988,0.3984,0.0
