step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,1,1,in,2.0,0,1,120.0,True,0.1068,0.3984,0.0
2,3,-1,in,2.0,0,-1,-120.0,True,0.6876,0.3984,0.0
3,22,-1,out,2.0,0,-1,-120.0,True,1.1156,0.3984,0.0
4,0,1,in,2.0,0,1,120.0,True,0.0,0.3984,0.0
5,5,-1,in,2.0,0,-1,-120.0,True,1.4295,0.3984,0.0
6,11,1,in,2.0,0,1,120.0,True,6.5246,0.3984,0.0
7,13,-1,in,2.0,0,-1,-120.0,True,5.2888,0.3984,0.0
8,12,1,in,2.0,0,1,120.0,True,5.6443,0.3984,0.0
9,7,-1,in,2.0,0,-1,-120.0,True,0.8845,0.3984,0.0
10,9,-1,in,2.0,0,-1,-120.0,True,3.6568,0.3984,0.0
11,17,1,out,2.0,0,1,120.0,True,5.3588,0.3984,0.0
