step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,1,1,in,2.0,0,1,120.0,True,0.1068,0.3984,0.0
2,24,-1,out,2.0,0,-1,-120.0,True,0.3656,0.3984,0.0
3,20,1,out,2.0,0,1,120.0,True,2.3827,0.3984,0.0
4,0,1,in,2.0,0,1,120.0,True,0.0,0.3984,27.3333
5,2,-1,in,2.0,0,-1,-120.0,True,0.326,0.3984,0.0
6,22,-1,out,2.0,0,-1,-120.0,True,1.1147,0.3984,0.0
7,8,-1,in,2.0,0,-1,-120.0,True,3.9359,0.3984,0.0
8,3,1,in,2.0,0,1,120.0,True,0.2167,0.3984,0.0
9,14,-1,out,2.0,0,-1,-120.0,True,7.7447,0.3984,0.0
10,21,-1,out,2.0,0,-1,-120.0,True,0.7694,0.3984,0.0
11,9,-1,in,2.0,0,-1,-120.0,True,5.0597,0.3984,0.0
12,24,1,out,2.0,-1,0,0.0,True,0.3656,0.3984,0.0
13,25,-1,out,2.0,0,-1,-120.0,True,0.1004,0.3984,0.0
14,24,-1,out,2.0,0,-1,-120.0,True,0.326,0.3984,0.0
15,9,1,in,2.0,-1,0,0.0,True,5.0597,0.3984,0.0
16,5,-1,in,2.0,0,-1,-120.0,True,1.2366,0.3984,0.0
17,9,-1,in,2.0,0,-1,-120.0,True,4.7013,0.3984,0.0
18,13,-1,out,2.0,0,-1,-120.0,True,6.9256,0.7901,0.0
19,14,1,out,2.0,-1,0,0.0,True,7.7934,0.3984,0.0
20,14,-1,in,2.0,0,-1,-120.0,True,6.6951,0.3984,0.0
21,5,1,in,2.0,-1,0,0.0,True,1.2575,0.3984,0.0
