step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,4,-1,in,2.0,0,-1,-120.0,True,1.2374,0.3984,0.0
2,0,1,in,2.0,0,1,120.0,True,0.0,0.3984,0.0
3,21,-1,out,2.0,0,-1,-120.0,True,1.8709,0.3984,0.0
4,3,1,in,2.0,0,1,120.0,True,0.7366,0.3984,0.0
5,22,-1,out,2.0,0,-1,-120.0,True,1.2374,0.3984,0.0
6,23,-1,out,2.0,0,-1,-120.0,True,0.7366,0.3984,0.0
7,17,1,out,2.0,0,1,120.0,True,3.8669,0.3984,0.0
8,11,1,in,2.0,0,1,120.0,True,7.8383,0.3984,0.0
9,13,-1,in,2.0,0,-1,-120.0,True,7.8896,0.3984,0.0
10,12,1,in,2.0,0,1,120.0,True,8.0118,0.3984,0.0
11,18,1,out,2.0,0,1,120.0,True,2.7878,2.5358,0.0
12,6,1,in,2.0,0,1,120.0,True,1.9373,0.3984,0.0
