step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,3,-1,in,2.0,0,-1,-120.0,True,0.7366,0.3984,0.0
2,17,1,out,2.0,0,1,120.0,True,5.7932,0.3984,0.0
3,23,-1,out,2.0,0,-1,-120.0,True,0.7366,0.3984,0.0
4,11,1,in,2.0,0,1,120.0,True,7.4512,0.3984,0.0
5,4,1,in,2.0,0,1,120.0,True,0.6549,0.3984,0.0
6,5,1,in,2.0,0,1,120.0,True,1.212,0.3984,0.0
7,14,-1,out,2.0,0,-1,-120.0,True,3.779,0.3984,0.0
8,16,-1,out,2.0,0,-1,-120.0,True,5.2531,0.3984,0.0
9,18,1,out,2.0,0,1,120.0,True,4.1722,0.3984,0.0
10,10,-1,in,2.0,0,-1,-120.0,True,6.6467,0.3984,0.0
11,10,1,out,2.0,-1,0,0.0,True,7.4407,0.3984,8.0773
12,14,1,out,2.0,-1,0,0.0,True,2.9869,0.3984,0.0
13,12,1,out,2.0,0,1,120.0,True,6.0874,0.3984,0.0
14,10,1,in,2.0,0,1,120.0,True,6.6467,0.3984,0.0
