step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,0,-1,in,2.0,0,-1,-120.0,True,0.0,0.3984,0.0
2,18,-1,out,2.0,0,-1,-120.0,True,4.5981,0.3984,0.0
3,21,1,out,2.0,0,1,120.0,True,1.8709,0.3984,0.0
4,1,1,in,2.0,0,1,120.0,True,0.1068,0.3984,0.0
5,12,-1,in,2.0,0,-1,-120.0,True,10.2501,0.3984,0.0
6,5,1,in,2.0,0,1,120.0,True,1.8004,0.3984,0.0
7,9,1,in,2.0,0,1,120.0,True,3.017,0.3984,0.0
8,6,1,in,2.0,0,1,120.0,True,2.129,1.5843,0.0
9,15,1,in,2.0,0,1,120.0,True,3.5894,0.3984,0.0
10,10,1,in,2.0,0,1,120.0,True,2.7777,0.3984,0.0
11,14,1,in,2.0,0,1,120.0,True,6.3797,0.3984,0.0
12,13,1,in,2.0,0,1,120.0,True,2.915,0.3984,0.0
13,17,1,out,2.0,0,1,120.0,True,2.7159,0.3984,0.0
14,22,1,in,2.0,0,1,120.0,True,3.4109,0.3984,0.0
15,17,-1,out,2.0,1,0,0.0,True,1.5996,0.3984,0.0
16,15,-1,out,2.0,1,0,0.0,True,5.2565,0.3984,0.0
17,16,-1,out,2.0,0,-1,-120.0,True,2.3142,0.3984,0.0
18,15,-1,out,2.0,0,-1,-120.0,True,2.8745,0.3984,0.0
