step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,24,-1,out,2.0,0,-1,-120.0,True,0.3656,0.3984,0.0
2,3,-1,in,2.0,0,-1,-120.0,True,0.7366,0.3984,0.0
3,0,1,in,2.0,0,1,120.0,True,0.0,0.3984,0.0
4,25,-1,out,2.0,0,-1,-120.0,True,0.1211,0.3984,0.0
5,7,-1,in,2.0,0,-1,-120.0,True,2.4968,0.3984,0.0
6,6,1,in,2.0,0,1,120.0,True,1.6543,0.3984,0.0
7,18,-1,out,2.0,0,-1,-120.0,True,3.9359,0.3984,0.0
8,19,-1,out,2.0,0,-1,-120.0,True,3.1283,0.3984,0.0
9,10,-1,in,2.0,0,-1,-120.0,True,4.8242,0.3984,0.0
10,13,-1,in,2.0,0,-1,-120.0,True,3.2904,0.3984,0.0
11,9,-1,in,2.0,0,-1,-120.0,True,5.2839,0.3984,0.0
12,8,1,in,2.0,0,1,120.0,True,2.5575,0.3984,0.0
13,12,1,in,2.0,0,1,120.0,True,8.047,0.3984,0.0
14,14,-1,out,2.0,0,-1,-120.0,True,8.2439,0.3984,0.0
15,19,1,out,2.0,-1,0,0.0,True,3.167,0.3984,0.0
16,16,-1,in,2.0,0,-1,-120.0,True,6.9989,2.9794,4.9794
17,8,-1,in,2.0,1,0,0.0,True,2.5575,0.3984,0.0
18,19,-1,out,2.0,0,-1,-120.0,True,3.167,0.3984,0.0
