step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,1,1,in,2.0,0,1,120.0,True,0.1068,0.3984,0.0
2,25,1,out,2.0,0,1,120.0,True,0.1211,0.3984,0.0
3,23,1,out,2.0,0,1,120.0,True,0.6542,0.3984,0.0
4,0,1,in,2.0,0,1,120.0,True,0.0,0.3984,27.3333
5,21,-1,out,2.0,0,-1,-120.0,True,1.4324,0.3984,0.0
6,14,-1,out,2.0,0,-1,-120.0,True,7.0185,0.3984,0.0
7,16,-1,out,2.0,0,-1,-120.0,True,4.0351,0.3984,0.0
8,14,1,out,2.0,-1,0,0.0,True,7.7004,0.3984,0.0
9,6,-1,in,2.0,0,-1,-120.0,True,2.5826,0.3984,0.0
10,5,1,in,2.0,0,1,120.0,True,1.8004,0.3984,0.0
11,11,1,in,2.0,0,1,120.0,True,4.4766,0.3984,0.0
12,6,1,in,2.0,-1,0,0.0,True,2.129,0.3984,0.0
13,13,-1,in,2.0,0,-1,-120.0,True,4.1445,0.3984,0.0
14,12,1,in,2.0,0,1,120.0,True,4.654,0.3984,0.0
15,13,1,in,2.0,-1,0,0.0,True,6.3784,0.3984,9.7353
16,11,-1,in,2.0,1,0,0.0,True,7.6321,0.3984,0.0
