step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,0,-1,in,2.0,0,-1,-120.0,True,0.0,0.3984,0.0
2,23,1,out,2.0,0,1,120.0,True,0.6594,0.3984,0.0
3,12,-1,in,2.0,0,-1,-120.0,True,10.3097,0.3984,0.0
4,2,1,in,2.0,0,1,120.0,True,0.3656,0.3984,0.0
5,5,1,in,2.0,0,1,120.0,True,1.35,0.3984,0.0
6,6,1,in,2.0,0,1,120.0,True,2.1749,0.3984,0.0
7,9,1,in,2.0,0,1,120.0,True,1.3491,0.3984,0.0
8,15,1,in,2.0,0,1,120.0,True,3.4056,0.3984,0.0
9,10,1,in,2.0,0,1,120.0,True,3.4557,0.3984,0.0
10,13,1,in,2.0,0,1,120.0,True,3.5734,0.3984,0.0
11,23,-1,out,2.0,1,0,0.0,True,0.6594,0.3984,0.0
12,20,1,out,2.0,0,1,120.0,True,2.4137,0.3984,0.0
13,21,1,out,2.0,0,1,120.0,True,1.8709,0.3984,0.0
14,23,1,out,2.0,0,1,120.0,True,0.7366,0.3984,0.0
15,22,-1,out,2.0,0,-1,-120.0,True,1.1001,0.3984,0.0
16,21,-1,out,2.0,1,0,0.0,True,0.1869,0.3984,0.0
17,14,1,in,2.0,0,1,120.0,True,3.5656,0.3984,0.0
18,14,-1,out,2.0,1,0,0.0,True,4.9622,0.3984,9.7353
19,22,1,out,2.0,-1,0,0.0,True,0.9864,0.3984,0.0
20,22,1,out,2.0,0,1,120.0,True,1.1001,0.3984,0.0
21,19,1,out,2.0,0,1,120.0,True,1.7158,0.3984,0.0
