step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,0,-1,in,2.0,0,-1,-120.0,True,0.0,0.3984,0.0
2,3,-1,in,2.0,0,-1,-120.0,True,0.7366,0.3984,0.0
3,22,-1,out,2.0,0,-1,-120.0,True,1.1156,0.3984,0.0
4,1,1,in,2.0,0,1,120.0,True,0.1211,0.3984,0.0
5,6,-1,in,2.0,0,-1,-120.0,True,1.5439,0.3984,0.0
6,4,1,in,2.0,0,1,120.0,True,0.5435,0.3984,0.0
7,5,1,in,2.0,0,1,120.0,True,1.1086,0.3984,0.0
8,10,-1,in,2.0,0,-1,-120.0,True,5.041,0.3984,0.0
9,6,1,in,2.0,-1,0,0.0,True,2.1135,0.3984,0.0
10,6,1,in,2.0,0,1,120.0,True,1.9678,0.3984,0.0
11,9,1,in,2.0,0,1,120.0,True,1.5485,0.3984,0.0
12,15,1,in,2.0,0,1,120.0,True,6.1347,0.3984,0.0
13,10,1,in,2.0,-1,0,0.0,True,3.6822,0.3984,0.0
14,10,1,in,2.0,0,1,120.0,True,3.4558,0.3984,0.0
15,15,-1,in,2.0,1,0,0.0,True,8.1474,0.3984,0.0
16,16,1,out,2.0,0,1,120.0,True,6.6809,0.3984,0.0
17,19,1,out,2.0,0,1,120.0,True,1.9977,0.3984,0.0
18,14,-1,out,2.0,0,-1,-120.0,True,2.183,0.3984,0.0
19,16,-1,in,2.0,1,0,0.0,True,7.6979,0.3984,4.9794
20,14,1,in,2.0,-1,0,0.0,True,4.0005,0.3984,0.0
21,16,-1,out,2.0,0,-1,-120.0,True,6.4895,0.3984,0.0
