step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,0,-1,in,2.0,0,-1,-120.0,True,0.0,0.3984,0.0
2,21,-1,out,2.0,0,-1,-120.0,True,1.8709,0.3984,0.0
3,23,-1,out,2.0,0,-1,-120.0,True,0.7366,0.3984,0.0
4,22,-1,out,2.0,0,-1,-120.0,True,0.6549,0.3984,0.0
5,24,1,out,2.0,0,1,120.0,True,0.3656,0.3984,0.0
6,19,-1,out,2.0,0,-1,-120.0,True,2.4455,0.3984,0.0
7,8,-1,in,2.0,0,-1,-120.0,True,4.5981,0.3984,0.0
8,5,1,in,2.0,0,1,120.0,True,1.8709,0.3984,0.0
9,9,-1,in,2.0,0,-1,-120.0,True,3.407,0.3984,0.0
10,6,1,in,2.0,0,1,120.0,True,2.402,0.3984,0.0
11,13,-1,in,2.0,0,-1,-120.0,True,4.9501,0.3984,6.1013
12,10,-1,in,2.0,0,-1,-120.0,True,1.6707,0.3984,0.0
13,15,1,in,2.0,0,1,120.0,True,7.0449,0.3984,0.0
14,13,1,out,2.0,-1,0,0.0,True,5.7482,0.3984,14.0069
15,13,1,in,2.0,0,1,120.0,True,5.7954,0.3984,0.0
16,5,-1,out,2.0,1,0,0.0,True,5.2386,0.3984,10.7159
17,5,1,in,2.0,0,1,120.0,True,1.4084,0.3984,0.0
18,14,1,in,2.0,0,1,120.0,True,4.7884,0.3984,0.0
19,12,-1,out,2.0,0,-1,-120.0,True,0.3714,0.3984,31.134
20,15,-1,out,2.0,1,0,0.0,True,4.5868,0.3984,2.7901
21,12,1,out,2.0,-1,0,0.0,True,8.1185,0.3984,0.0
22,15,-1,out,2.0,0,-1,-120.0,True,5.0164,0.3984,0.0
