step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,2,1,in,2.0,0,1,120.0,True,0.3248,0.3984,0.0
2,22,1,out,2.0,0,1,120.0,True,1.2374,0.3984,0.0
3,5,1,in,2.0,0,1,120.0,True,1.315,0.3984,0.0
4,23,1,out,2.0,0,1,120.0,True,0.7366,0.3984,0.0
5,9,1,in,2.0,0,1,120.0,True,3.7247,0.3984,0.0
6,6,1,in,2.0,0,1,120.0,True,2.1749,0.3984,0.0
7,10,1,in,2.0,0,1,120.0,True,3.4518,0.3984,0.0
8,22,-1,out,2.0,1,0,0.0,True,1.1001,0.3984,0.0
9,19,1,out,2.0,0,1,120.0,True,3.2772,0.3984,0.0
10,22,1,out,2.0,0,1,120.0,True,1.0357,0.3984,0.0
11,20,1,out,2.0,0,1,120.0,True,0.5551,0.3984,0.0
12,16,-1,out,2.0,0,-1,-120.0,True,3.6899,0.3984,0.0
