step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,8,-1,in,2.0,0,-1,-120.0,True,4.5981,0.3984,0.0
2,0,1,in,2.0,0,1,120.0,True,0.0,0.3984,0.0
3,4,1,in,2.0,0,1,120.0,True,1.2374,0.3984,0.0
4,1,-1,in,2.0,0,-1,-120.0,True,0.1179,0.3984,0.0
5,5,1,in,2.0,0,1,120.0,True,0.9894,0.3984,0.0
6,6,1,in,2.0,0,1,120.0,True,2.1289,0.3984,0.0
7,12,-1,in,2.0,0,-1,-120.0,True,6.7866,0.3984,0.0
8,9,-1,in,2.0,0,-1,-120.0,True,3.7905,0.3984,0.0
9,20,1,out,2.0,0,1,120.0,True,2.4137,0.3984,0.0
10,21,1,out,2.0,0,1,120.0,True,1.8709,0.3984,0.0
11,20,-1,out,2.0,1,0,0.0,True,2.402,0.3984,0.0
12,14,-1,out,2.0,0,-1,-120.0,True,7.1106,0.3984,0.0
13,22,1,out,2.0,0,1,120.0,True,1.1574,0.3984,0.0
14,15,-1,out,2.0,0,-1,-120.0,True,5.4684,0.3984,0.0
15,18,-1,in,2.0,0,-1,-120.0,True,5.0285,0.3984,0.0
16,14,1,out,2.0,-1,0,0.0,True,5.2848,0.3984,33.1731
17,18,1,out,2.0,-1,0,0.0,True,1.1466,0.3984,32.3556
18,15,1,out,2.0,-1,0,0.0,True,5.303,0.3984,0.0
19,15,-1,in,2.0,0,-1,-120.0,True,7.1302,0.3984,4.5358
20,13,1,in,2.0,0,1,120.0,True,4.1758,0.3984,0.0
21,21,-1,out,2.0,1,0,0.0,True,1.6728,0.3984,0.0
22,14,1,in,2.0,0,1,120.0,True,4.2307,0.3984,0.0
23,12,1,in,2.0,-1,0,0.0,True,2.7281,0.3984,0.0
24,21,1,out,2.0,0,1,120.0,True,1.6728,0.3984,0.0
25,12,-1,in,2.0,0,-1,-120.0,True,2.7281,0.3984,0.0
