step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,4,-1,in,2.0,0,-1,-120.0,True,1.2374,0.3984,0.0
2,1,-1,in,2.0,0,-1,-120.0,True,0.1211,0.3984,0.0
3,21,-1,out,2.0,0,-1,-120.0,True,1.8709,0.3984,0.0
4,2,1,in,2.0,0,1,120.0,True,0.3186,0.3984,0.0
5,5,-1,in,2.0,0,-1,-120.0,True,1.4269,0.3984,0.0
6,22,-1,out,2.0,0,-1,-120.0,True,1.2374,0.3984,0.0
7,23,-1,out,2.0,0,-1,-120.0,True,0.7366,0.3984,0.0
8,24,1,out,2.0,0,1,120.0,True,0.3656,0.3984,0.0
9,25,1,out,2.0,0,1,120.0,True,0.1211,0.3984,0.0
10,17,1,out,2.0,0,1,120.0,True,3.645,0.3984,0.0
11,18,1,out,2.0,0,1,120.0,True,2.5501,0.3984,0.0
12,11,1,in,2.0,0,1,120.0,True,6.2846,0.3984,0.0
13,7,-1,in,2.0,0,-1,-120.0,True,0.7732,4.3294,0.0
14,17,-1,out,2.0,1,0,0.0,True,4.6961,0.3984,0.0
15,14,-1,out,2.0,0,-1,-120.0,True,5.3346,0.3984,0.0
16,16,-1,out,2.0,0,-1,-120.0,True,5.9106,2.9794,0.0
17,11,-1,in,2.0,1,0,0.0,True,5.348,0.3984,0.0
18,17,1,out,2.0,0,1,120.0,True,4.6961,0.3984,0.0
19,11,1,in,2.0,0,1,120.0,True,5.348,0.3984,0.0
20,9,1,in,2.0,0,1,120.0,True,3.5652,0.3984,0.0
21,8,1,in,2.0,0,1,120.0,True,1.559,0.3984,0.0
22,14,1,out,2.0,-1,0,0.0,True,4.4219,0.3984,0.0
23,13,-1,in,2.0,0,-1,-120.0,True,2.2188,0.3984,0.0
24,12,1,in,2.0,0,1,120.0,True,2.7337,0.3984,0.0
25,9,-1,in,2.0,1,0,0.0,True,1.7659,0.3984,0.0
26,8,-1,in,2.0,1,0,0.0,True,1.6411,0.3984,0.0
27,14,-1,out,2.0,0,-1,-120.0,True,4.4219,0.3984,0.0
28,8,1,in,2.0,0,1,120.0,True,1.6411,2.5358,0.0
