step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,0,1,in,2.0,0,1,120.0,True,0.0,0.3984,0.0
2,16,1,out,2.0,0,1,120.0,True,7.1435,0.3984,0.0
3,21,1,out,2.0,0,1,120.0,True,1.8709,0.3984,0.0
4,22,1,out,2.0,0,1,120.0,True,1.1574,1.4536,0.0
5,13,-1,out,2.0,0,-1,-120.0,True,7.0075,0.3984,0.0
6,7,-1,in,2.0,0,-1,-120.0,True,3.5483,0.3984,0.0
7,5,1,in,2.0,0,1,120.0,True,1.8709,0.3984,0.0
8,11,1,in,2.0,0,1,120.0,True,2.9751,0.3984,0.0
9,8,1,in,2.0,0,1,120.0,True,3.2148,0.3984,0.0
10,4,1,in,2.0,0,1,120.0,True,1.2374,0.3984,0.0
11,7,1,in,2.0,-1,0,0.0,True,3.2127,0.3984,0.0
12,11,-1,in,2.0,1,0,0.0,True,6.5246,0.3984,0.0
13,4,-1,in,2.0,1,0,0.0,True,1.1156,0.3984,0.0
