step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,2,-1,in,2.0,0,-1,-120.0,True,0.3656,0.3984,0.0
2,0,1,in,2.0,0,1,120.0,True,0.0,0.3984,0.0
3,4,-1,in,2.0,0,-1,-120.0,True,0.7586,0.3984,0.0
4,3,1,in,2.0,0,1,120.0,True,0.3255,0.3984,0.0
5,20,1,out,2.0,0,1,120.0,True,2.4137,0.3984,0.0
6,24,1,out,2.0,0,1,120.0,True,0.3656,0.3984,0.0
7,8,-1,in,2.0,0,-1,-120.0,True,3.338,0.3984,0.0
8,6,1,in,2.0,0,1,120.0,True,1.5337,0.3984,0.0
9,16,1,out,2.0,0,1,120.0,True,3.2229,0.3984,2.7901
10,17,-1,out,2.0,0,-1,-120.0,True,2.2059,0.3984,0.0
11,18,-1,out,2.0,0,-1,-120.0,True,3.7791,0.3984,0.0
12,22,1,out,2.0,0,1,120.0,True,0.7302,0.3984,0.0
13,12,-1,out,2.0,0,-1,-120.0,True,8.9907,0.3984,0.0
14,10,-1,in,2.0,0,-1,-120.0,True,3.7054,0.3984,0.0
15,13,1,in,2.0,0,1,120.0,True,1.367,0.3984,32.3556
16,10,1,in,2.0,-1,0,0.0,True,3.2548,0.3984,0.747
17,10,1,in,2.0,0,1,120.0,True,3.437,0.3984,0.747
18,18,1,out,2.0,-1,0,0.0,True,4.1363,0.3984,0.0
19,9,1,in,2.0,0,1,120.0,True,5.2214,0.3984,0.0
20,18,-1,in,2.0,0,-1,-120.0,True,4.236,0.3984,12.8064
21,14,1,in,2.0,0,1,120.0,True,0.9475,0.3984,0.0
22,18,1,in,2.0,-1,0,0.0,True,5.7386,0.3984,9.7353
23,9,-1,in,2.0,1,0,0.0,True,5.2214,0.3984,0.0
24,18,-1,out,2.0,0,-1,-120.0,True,4.1363,0.3984,0.0
