step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,2,-1,in,2.0,0,-1,-120.0,True,0.3656,0.3984,0.0
2,0,1,in,2.0,0,1,120.0,True,0.0,0.3984,0.0
3,20,1,out,2.0,0,1,120.0,True,2.4137,0.3984,0.0
4,8,-1,in,2.0,0,-1,-120.0,True,4.0251,0.3984,0.0
5,16,1,out,2.0,0,1,120.0,True,3.5213,0.3984,31.428
6,22,1,out,2.0,0,1,120.0,True,1.2374,0.3984,0.0
7,13,-1,in,2.0,0,-1,-120.0,True,5.9747,0.3984,0.0
8,4,1,in,2.0,0,1,120.0,True,0.7302,0.3984,0.0
9,18,-1,out,2.0,0,-1,-120.0,True,3.9298,0.3984,0.0
10,18,1,in,2.0,-1,0,0.0,True,2.1781,0.3984,4.9794
11,13,1,in,2.0,-1,0,0.0,True,6.4821,0.3984,0.0
12,10,1,in,2.0,0,1,120.0,True,3.2912,0.3984,0.0
13,14,1,in,2.0,0,1,120.0,True,9.3071,0.3984,0.0
