step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,25,1,out,2.0,0,1,120.0,True,0.1211,0.3984,0.0
2,8,-1,in,2.0,0,-1,-120.0,True,4.5981,0.3984,0.0
3,0,1,in,2.0,0,1,120.0,True,0.0,0.3984,0.0
4,1,-1,in,2.0,0,-1,-120.0,True,0.1211,0.3984,0.0
5,2,1,in,2.0,0,1,120.0,True,0.3186,0.3984,0.0
6,9,-1,in,2.0,0,-1,-120.0,True,5.0597,0.3984,0.0
7,23,1,out,2.0,0,1,120.0,True,0.6542,0.3984,0.0
8,24,1,out,2.0,0,1,120.0,True,0.2071,0.3984,9.7353
9,23,-1,out,2.0,1,0,0.0,True,0.6517,0.3984,0.0
10,17,1,out,2.0,0,1,120.0,True,5.6861,0.3984,0.0
11,19,1,out,2.0,0,1,120.0,True,3.167,0.3984,0.0
12,9,1,in,2.0,-1,0,0.0,True,5.0597,0.3984,0.0
13,14,-1,out,2.0,0,-1,-120.0,True,1.4563,0.3984,0.0
14,17,-1,out,2.0,1,0,0.0,True,5.2395,0.3984,0.0
15,20,-1,out,2.0,0,-1,-120.0,True,2.3904,0.3984,0.0
16,13,-1,out,2.0,0,-1,-120.0,True,9.7714,0.3984,0.0
17,9,-1,in,2.0,0,-1,-120.0,True,5.0597,0.3984,0.0
18,20,1,out,2.0,-1,0,0.0,True,2.4981,0.3984,0.0
19,18,1,out,2.0,0,1,120.0,True,4.2033,0.3984,0.0
