step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,21,-1,out,2.0,0,-1,-120.0,True,1.8709,0.3984,0.0
2,17,1,out,2.0,0,1,120.0,True,3.3838,0.3984,0.0
3,10,-1,in,2.0,0,-1,-120.0,True,7.1435,0.3984,0.0
4,5,1,in,2.0,0,1,120.0,True,1.8709,0.3984,0.0
5,9,1,in,2.0,0,1,120.0,True,3.1155,0.3984,0.0
6,6,1,in,2.0,0,1,120.0,True,2.3749,0.3984,0.0
7,22,-1,out,2.0,0,-1,-120.0,True,1.2374,0.3984,0.0
8,20,1,out,2.0,0,1,120.0,True,2.3332,0.3984,0.0
9,12,-1,in,2.0,0,-1,-120.0,True,3.5902,0.3984,0.0
10,10,1,in,2.0,-1,0,0.0,True,2.793,0.3984,0.0
11,15,1,in,2.0,0,1,120.0,True,3.7318,0.3984,0.0
12,12,1,out,2.0,-1,0,0.0,True,6.1144,0.3984,3.5843
13,22,1,out,2.0,-1,0,0.0,True,1.2374,0.3984,0.0
14,15,-1,out,2.0,1,0,0.0,True,4.1335,0.3984,0.0
