step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,1,1,in,2.0,0,1,120.0,True,0.1068,0.3984,0.0
2,23,1,out,2.0,0,1,120.0,True,0.6594,0.3984,0.0
3,18,-1,out,2.0,0,-1,-120.0,True,4.3122,0.3984,0.0
4,2,-1,in,2.0,0,-1,-120.0,True,0.326,0.3984,0.0
5,22,1,out,2.0,0,1,120.0,True,1.0357,0.3984,0.0
6,19,-1,out,2.0,0,-1,-120.0,True,1.3259,0.3984,0.0
7,9,-1,in,2.0,0,-1,-120.0,True,5.0789,0.3984,0.0
8,5,1,in,2.0,0,1,120.0,True,1.4373,0.3984,0.0
9,13,-1,in,2.0,0,-1,-120.0,True,5.7114,0.3984,3.4536
10,4,1,in,2.0,0,1,120.0,True,0.6543,0.3984,0.0
11,10,-1,in,2.0,0,-1,-120.0,True,4.0704,0.3984,0.0
12,11,-1,in,2.0,0,-1,-120.0,True,5.3867,0.3984,0.0
13,12,1,in,2.0,0,1,120.0,True,9.09,0.3984,0.0
14,12,-1,out,2.0,1,0,0.0,True,8.0428,0.3984,10.3102
15,16,-1,out,2.0,0,-1,-120.0,True,3.2746,0.3984,6.1013
16,8,1,out,2.0,0,1,120.0,True,3.5732,0.3984,0.0
17,15,-1,out,2.0,0,-1,-120.0,True,3.1554,0.3984,0.0
18,8,-1,out,2.0,1,0,0.0,True,7.4918,0.3984,2.8418
