step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,0,-1,in,2.0,0,-1,-120.0,True,0.0,0.3984,0.0
2,4,-1,in,2.0,0,-1,-120.0,True,1.2374,0.3984,0.0
3,12,-1,in,2.0,0,-1,-120.0,True,8.3423,0.3984,0.0
4,5,-1,in,2.0,0,-1,-120.0,True,1.5635,0.3984,0.0
5,9,1,in,2.0,0,1,120.0,True,2.2677,0.3984,0.0
6,20,1,out,2.0,0,1,120.0,True,2.4137,0.3984,0.0
7,21,1,out,2.0,0,1,120.0,True,1.8709,0.3984,0.0
8,20,-1,out,2.0,1,0,0.0,True,2.402,0.3984,0.0
9,18,-1,out,2.0,0,-1,-120.0,True,2.2012,0.3984,34.9545
10,19,1,out,2.0,0,1,120.0,True,1.687,0.3984,0.0
11,22,1,out,2.0,0,1,120.0,True,1.2374,0.3984,0.0
12,16,1,out,2.0,0,1,120.0,True,1.7666,0.3984,0.0
13,18,1,out,2.0,-1,0,0.0,True,1.8382,0.3984,0.0
14,11,1,in,2.0,0,1,120.0,True,5.2255,0.3984,0.0
15,11,-1,out,2.0,1,0,0.0,True,6.0388,0.3984,8.0773
16,16,-1,out,2.0,1,0,0.0,True,4.2372,0.3984,0.0
17,13,1,out,2.0,0,1,120.0,True,8.5073,0.3984,0.0
18,13,-1,in,2.0,1,0,0.0,True,6.6736,0.3984,10.3102
19,10,1,in,2.0,0,1,120.0,True,3.9281,0.3984,0.0
