step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,0,-1,in,2.0,0,-1,-120.0,True,0.0,0.3984,0.0
2,24,-1,out,2.0,0,-1,-120.0,True,0.3656,0.3984,0.0
3,3,-1,in,2.0,0,-1,-120.0,True,0.7366,0.3984,0.0
4,25,-1,out,2.0,0,-1,-120.0,True,0.1211,0.3984,0.0
5,22,-1,out,2.0,0,-1,-120.0,True,0.8697,0.3984,0.0
6,8,-1,in,2.0,0,-1,-120.0,True,3.5028,0.3984,0.0
7,6,1,in,2.0,0,1,120.0,True,1.6543,0.3984,0.0
8,14,-1,out,2.0,0,-1,-120.0,True,8.0466,0.3984,0.0
9,9,-1,in,2.0,0,-1,-120.0,True,5.224,0.3984,0.0
10,21,-1,out,2.0,0,-1,-120.0,True,0.6503,0.3984,0.0
11,15,-1,out,2.0,0,-1,-120.0,True,7.5968,0.3984,0.0
12,16,-1,out,2.0,0,-1,-120.0,True,5.6292,0.3984,0.0
13,21,1,out,2.0,-1,0,0.0,True,0.6503,0.3984,0.0
14,5,1,out,2.0,0,1,120.0,True,3.4496,0.3984,22.9379
15,16,1,in,2.0,-1,0,0.0,True,6.1738,0.3984,0.0
16,14,1,in,2.0,-1,0,0.0,True,6.8734,0.3984,0.0
17,5,-1,in,2.0,1,0,0.0,True,1.6685,0.3984,0.0
18,15,1,in,2.0,-1,0,0.0,True,9.082,0.3984,0.0
19,15,-1,out,2.0,0,-1,-120.0,True,7.4455,0.3984,0.0
20,14,1,out,2.0,0,1,120.0,True,7.4028,0.8926,0.0
