step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,14,-1,out,2.0,0,-1,-120.0,True,10.3097,0.3984,0.0
2,20,-1,out,2.0,0,-1,-120.0,True,2.6402,0.3984,0.0
3,21,1,out,2.0,0,1,120.0,True,1.7259,0.3984,0.0
4,15,1,out,2.0,0,1,120.0,True,3.4792,0.3984,0.0
5,7,-1,in,2.0,0,-1,-120.0,True,3.5483,0.3984,0.0
6,6,1,in,2.0,0,1,120.0,True,2.6402,0.3984,0.0
7,5,-1,in,2.0,0,-1,-120.0,True,1.6987,0.3984,0.0
8,7,1,in,2.0,-1,0,0.0,True,1.077,0.3984,8.0773
9,5,1,in,2.0,-1,0,0.0,True,1.8709,0.3984,0.0
10,15,-1,out,2.0,1,0,0.0,True,3.4792,0.3984,0.0
11,12,-1,in,2.0,0,-1,-120.0,True,6.1039,0.3984,1.7271
12,9,1,out,2.0,0,1,120.0,True,2.5031,0.3984,3.5843
13,12,1,in,2.0,-1,0,0.0,True,9.4159,0.3984,0.0
14,2,1,in,2.0,0,1,120.0,True,0.3656,0.3984,0.0
15,5,1,in,2.0,0,1,120.0,True,1.1674,0.3984,21.393
16,15,1,out,2.0,0,1,120.0,True,3.3747,0.3984,12.1637
17,2,-1,in,2.0,1,0,0.0,True,0.3248,0.3984,0.0
