step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,0,-1,in,2.0,0,-1,-120.0,True,0.0,0.3984,0.0
2,2,-1,in,2.0,0,-1,-120.0,True,0.3656,0.3984,0.0
3,20,1,out,2.0,0,1,120.0,True,2.4137,0.3984,0.0
4,22,-1,out,2.0,0,-1,-120.0,True,1.2374,0.3984,0.0
5,23,-1,out,2.0,0,-1,-120.0,True,0.7366,0.3984,0.0
6,25,-1,out,2.0,0,-1,-120.0,True,0.1211,0.3984,0.0
7,18,-1,out,2.0,0,-1,-120.0,True,3.5384,0.3984,0.0
8,4,-1,in,2.0,0,-1,-120.0,True,0.7586,0.3984,0.0
9,3,1,in,2.0,0,1,120.0,True,0.3255,0.3984,0.0
10,4,1,in,2.0,-1,0,0.0,True,0.7302,0.3984,10.3102
11,20,-1,out,2.0,1,0,0.0,True,2.4192,0.3984,0.0
12,21,-1,out,2.0,0,-1,-120.0,True,1.0878,0.3984,0.0
13,14,-1,out,2.0,0,-1,-120.0,True,3.5592,0.3984,0.0
14,17,-1,out,2.0,0,-1,-120.0,True,4.1343,0.3984,0.0
15,20,1,out,2.0,0,1,120.0,True,2.1862,0.3984,0.0
16,14,1,out,2.0,-1,0,0.0,True,4.6157,0.3984,4.9794
17,11,1,in,2.0,0,1,120.0,True,8.4794,0.3984,0.0
18,9,1,in,2.0,0,1,120.0,True,5.2094,0.3984,0.0
19,12,-1,in,2.0,0,-1,-120.0,True,2.7458,0.3984,34.0713
20,11,-1,out,2.0,1,0,0.0,True,9.3522,0.3984,8.0773
21,10,-1,out,2.0,0,-1,-120.0,True,7.2449,0.3984,0.0
22,12,1,out,2.0,-1,0,0.0,True,8.1331,0.3984,0.0
23,15,1,out,2.0,0,1,120.0,True,3.3631,0.3984,0.0
24,15,-1,in,2.0,1,0,0.0,True,5.4578,0.3984,14.2625
25,10,1,in,2.0,-1,0,0.0,True,6.2433,0.3984,0.0
26,10,1,in,2.0,0,1,120.0,True,6.6082,0.3984,0.0
