step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,0,1,in,2.0,0,1,120.0,True,0.0,0.3984,0.0
2,2,-1,in,2.0,0,-1,-120.0,True,0.3656,0.3984,0.0
3,25,1,out,2.0,0,1,120.0,True,0.1211,0.3984,0.0
4,1,1,in,2.0,0,1,120.0,True,0.1211,0.3984,0.0
5,6,-1,in,2.0,0,-1,-120.0,True,2.0087,0.3984,0.0
6,3,1,in,2.0,0,1,120.0,True,0.2167,0.3984,0.0
7,8,-1,in,2.0,0,-1,-120.0,True,1.9025,0.3984,0.0
8,7,1,in,2.0,0,1,120.0,True,1.8786,0.3984,0.0
9,10,-1,in,2.0,0,-1,-120.0,True,3.1644,0.3984,0.0
10,13,-1,in,2.0,0,-1,-120.0,True,1.2774,0.3984,0.0
11,9,-1,in,2.0,0,-1,-120.0,True,4.9626,0.3984,0.0
12,23,1,out,2.0,0,1,120.0,True,0.6542,0.3984,0.0
13,24,1,out,2.0,0,1,120.0,True,0.2071,0.3984,9.7353
14,23,-1,out,2.0,1,0,0.0,True,0.6517,0.3984,0.0
15,20,1,out,2.0,0,1,120.0,True,2.3904,0.3984,0.0
16,21,1,out,2.0,0,1,120.0,True,1.5098,0.3984,0.0
17,20,-1,out,2.0,1,0,0.0,True,2.1135,0.3984,0.0
18,23,-1,out,2.0,0,-1,-120.0,True,0.6517,0.3984,0.0
19,12,-1,in,2.0,0,-1,-120.0,True,6.6018,0.3984,0.0
20,11,-1,out,2.0,0,-1,-120.0,True,9.1402,0.3984,31.134
21,19,1,out,2.0,0,1,120.0,True,0.9803,0.3984,0.0
22,18,1,out,2.0,0,1,120.0,True,2.5403,0.3984,0.0
23,14,1,out,2.0,0,1,120.0,True,3.4405,0.3984,0.0
24,12,1,in,2.0,-1,0,0.0,True,3.4196,0.3984,5.5103
25,8,1,in,2.0,-1,0,0.0,True,2.8013,0.3984,0.0
26,14,-1,out,2.0,1,0,0.0,True,3.4405,0.3984,0.0
27,13,1,out,2.0,-1,0,0.0,True,5.2069,0.3984,0.0
28,15,-1,out,2.0,0,-1,-120.0,True,4.0116,0.3984,0.0
29,8,-1,in,2.0,0,-1,-120.0,True,2.8013,0.3984,0.0
30,13,-1,in,2.0,0,-1,-120.0,True,4.4738,2.9794,0.0
