step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,25,1,out,2.0,0,1,120.0,True,0.1211,0.3984,0.0
2,2,-1,in,2.0,0,-1,-120.0,True,0.3656,0.3984,0.0
3,0,1,in,2.0,0,1,120.0,True,0.0,0.3984,0.0
4,22,-1,out,2.0,0,-1,-120.0,True,1.1079,0.3984,0.0
5,5,-1,in,2.0,0,-1,-120.0,True,1.6754,0.3984,0.0
6,17,1,out,2.0,0,1,120.0,True,5.1057,0.3984,0.0
7,14,-1,out,2.0,0,-1,-120.0,True,3.9161,0.3984,0.0
8,16,-1,out,2.0,0,-1,-120.0,True,4.2577,0.3984,0.0
9,19,-1,out,2.0,0,-1,-120.0,True,1.7607,0.3984,0.0
10,12,-1,in,2.0,0,-1,-120.0,True,6.8703,0.3984,0.0
11,19,1,out,2.0,-1,0,0.0,True,1.7607,0.3984,0.0
