step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,21,-1,out,2.0,0,-1,-120.0,True,1.8709,0.3984,0.0
2,14,-1,out,2.0,0,-1,-120.0,True,7.4922,0.3984,0.0
3,19,-1,out,2.0,0,-1,-120.0,True,2.8999,0.3984,0.0
4,13,-1,out,2.0,0,-1,-120.0,True,7.0205,0.3984,0.0
5,6,-1,in,2.0,0,-1,-120.0,True,2.6402,0.3984,0.0
6,0,1,in,2.0,0,1,120.0,True,0.0,0.3984,0.0
7,5,1,in,2.0,0,1,120.0,True,1.8709,0.3984,0.0
8,13,1,out,2.0,-1,0,0.0,True,7.0205,0.3984,0.0
9,9,-1,in,2.0,0,-1,-120.0,True,4.5019,0.3984,0.0
10,13,-1,in,2.0,0,-1,-120.0,True,2.6662,0.3984,3.5843
11,6,1,in,2.0,-1,0,0.0,True,2.2937,0.3984,0.0
12,9,1,in,2.0,-1,0,0.0,True,3.3838,0.3984,0.0
13,8,1,in,2.0,0,1,120.0,True,3.8034,0.3984,0.0
