step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,1,1,in,2.0,0,1,120.0,True,0.1068,0.3984,0.0
2,24,-1,out,2.0,0,-1,-120.0,True,0.3656,0.3984,0.0
3,6,-1,in,2.0,0,-1,-120.0,True,2.5826,0.3984,0.0
4,2,-1,in,2.0,0,-1,-120.0,True,0.3186,0.3984,0.0
5,25,-1,out,2.0,0,-1,-120.0,True,0.1211,0.3984,0.0
6,13,-1,in,2.0,0,-1,-120.0,True,8.0915,0.3984,0.0
7,4,1,in,2.0,0,1,120.0,True,0.6378,0.3984,0.0
8,8,1,in,2.0,0,1,120.0,True,2.3167,0.3984,0.0
9,20,1,out,2.0,0,1,120.0,True,2.1368,0.3984,0.0
10,21,1,out,2.0,0,1,120.0,True,1.2366,0.3984,0.0
11,19,-1,out,2.0,0,-1,-120.0,True,1.9951,0.3984,0.0
12,14,-1,out,2.0,0,-1,-120.0,True,3.9307,0.3984,0.0
13,20,-1,out,2.0,1,0,0.0,True,1.8473,0.3984,0.0
14,19,1,out,2.0,-1,0,0.0,True,1.5872,0.3984,0.0
